,fips,number_rivers_and_streams,length_of_rivers_and_streams
972,21037,6,105.57
973,21039,7,85.53
974,21041,9,81.08
975,21043,12,224.57
976,21045,13,188.48
977,21047,22,326.88
978,21049,9,135.09
979,21051,11,224.84
980,21053,8,73.34
981,21055,11,196.31
982,21057,11,158.42
983,21059,9,187.37
984,21061,10,174.39
985,21063,12,122.48
986,21065,6,130.63
987,21067,8,125.45
988,21069,7,207.56
989,21071,12,219.64
990,21073,10,154.57
991,21075,8,113.39
992,21077,7,64.35
993,21079,6,146.71
994,21081,12,118.27
995,21083,12,186.31
996,21085,15,284.88
997,21087,10,213.11
998,21089,12,222.61
999,21091,10,111.53
1000,21093,19,290.53
1001,21095,12,271.96
1002,21097,10,206.41
1003,21099,5,174.96
1004,21101,13,256.29
1005,21103,14,138.2
1006,21105,8,102.58
1007,21107,14,235.4
1008,21109,11,149.94
1009,21111,11,165.6
1010,21113,7,133.09
1011,21115,8,123.42
1012,21117,7,86.97
1013,21119,9,178.16
1014,21121,11,197.1
1015,21123,11,141.79
1016,21125,14,235.0
1017,21127,12,222.04
1018,21129,6,117.82
1019,21131,7,192.29
1020,21133,8,187.08
1021,21135,10,261.92
1022,21137,9,163.99
1023,21139,9,162.98
1024,21141,15,266.14
1025,21143,5,81.24
1026,21145,11,165.65
1027,21147,9,192.65
1028,21149,5,106.06
1029,21151,10,247.81
1030,21153,5,102.81
1031,21155,7,156.63
1032,21157,7,159.85
1033,21159,9,134.8
1034,21161,6,111.32
1035,21163,8,133.44
1036,21165,9,60.64
1037,21167,6,147.1
1038,21169,10,142.68
1039,21171,15,200.28
1040,21173,6,100.71
1041,21175,13,176.28
1042,21177,13,234.64
1043,21179,17,244.77
1044,21181,8,122.57
1045,21183,15,299.62
1046,21185,8,98.46
1047,21187,13,207.14
1048,21189,5,73.8
1049,21191,12,186.18
1050,21193,9,169.23
1051,21195,19,425.7
1052,21197,5,88.89
1053,21199,15,380.49
1054,21201,4,62.24
1055,21203,11,143.58
1056,21205,8,129.79
1057,21207,7,126.25
1058,21209,11,193.97
1059,21211,13,215.19
1060,21213,4,66.0
